rank,cn_title,eng_title,more_title,country,eng_dir,score,num_of_reviews,year,img,url
195,香水,Perfume: The Story of a Murderer,香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,Germany,Tom Tykwer,8.5,355579,2006,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg,https://movie.douban.com/subject/1760622/
196,朗读者,The Reader,为爱朗读(台)  /  读爱(港),U.S.,Stephen Daldry,8.5,329660,2008,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,https://movie.douban.com/subject/2213597/
197,浪潮,Die Welle,恶魔教室(台)  /  白恤暴潮(港),Germany,Dennis Gansel,8.7,170288,2008,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg,https://movie.douban.com/subject/2297265/
198,可可西里,Kekexili: Mountain Patrol,Kekexili: Mountain Patrol,China,Chuan Lu,8.7,167637,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414771522.jpg,https://movie.douban.com/subject/1308857/
199,谍影重重2,The Bourne Supremacy,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),U.S.,Paul Greengrass,8.6,213989,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,https://movie.douban.com/subject/1308767/
200,牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day,Taiwan,Edward Yang,8.8,145507,1991,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,https://movie.douban.com/subject/1292329/
201,谍影重重,The Bourne Identity,叛谍追击(港)  /  神鬼认证(台),U.S.,Doug Liman,8.6,255035,2002,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,https://movie.douban.com/subject/1304102/
202,战争之王,Lord of War,军火之王(台 / 港),U.S.,Andrew Niccol,8.6,220740,2005,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453719066.jpg,https://movie.douban.com/subject/1419936/
203,地球上的星星,Taare Zameen Par,心中的小星星(台)  /  每一个孩子都是特别的,India,Aamir Khan,8.9,117161,2007,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,https://movie.douban.com/subject/2363506/
204,疯狂的石头,Crazy Stone,Crazy Stone,China,Hao Ning,8.4,439852,2006,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,https://movie.douban.com/subject/1862151/
205,惊魂记,Psycho,精神病患者  /  触目惊心,U.S.,Alfred Hitchcock,8.9,117097,1960,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,https://movie.douban.com/subject/1293181/
206,青蛇,Green Snake,Green Snake,Hong Kong,Hark Tsui,8.5,296768,1993,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg,https://movie.douban.com/subject/1303394/
207,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,初恋那件小事(港)  /  暗恋那点小事,Thai,,8.3,617314,2010,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,https://movie.douban.com/subject/4739952/
208,终结者2：审判日,Terminator 2: Judgment Day,终结者2  /  终结者2：末日审判,U.S.,James Cameron,8.6,193497,1991,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,https://movie.douban.com/subject/1291844/
209,源代码,Source Code,启动原始码(台)  /  危机解密(港),U.S.,Duncan Jones,8.4,512488,2011,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,https://movie.douban.com/subject/3075287/
210,步履不停,歩いても 歩いても,横山家之味(港 / 台),Japan,Hirokazu Koreeda,8.8,134346,2008,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p672446737.jpg,https://movie.douban.com/subject/2222996/
211,小萝莉的猴神大叔,Bajrangi Bhaijaan,娃娃返乡任务(台)  /  宝莱坞之钢铁奶爸(台),India,Kabir Khan,8.5,260630,2015,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg,https://movie.douban.com/subject/26393561/
212,新龙门客栈,新龍門客棧,New Dragon Gate Inn,Hong Kong,Raymond Lee,8.5,251246,1992,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,https://movie.douban.com/subject/1292287/
213,一次别离,جدایی نادر از سیمین,分居风暴(台)  /  伊朗式分居(港),Iran,Asghar Farhadi,8.7,165523,2011,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg,https://movie.douban.com/subject/5964718/
214,爱在午夜降临前,Before Midnight,爱在午夜希腊时(台)  /  情约半生(港),U.S.,Richard Linklater,8.8,162349,2013,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,https://movie.douban.com/subject/10808442/
215,追随,Following,跟踪(台)  /  致命追踪,U.K.,Christopher Nolan,8.9,106116,1998,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1150103377.jpg,https://movie.douban.com/subject/1397546/
216,再次出发之纽约遇见你,Begin Again,再次出发  /  歌曲改变人生,U.S.,John Carney,8.5,239013,2013,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,https://movie.douban.com/subject/6874403/
217,功夫,功夫3D  /  Kung Fu Hustle,功夫3D  /  Kung Fu Hustle,China,Stephen Chow,8.4,443284,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,https://movie.douban.com/subject/1291543/
218,无耻混蛋,Inglourious Basterds,恶棍特工(台)  /  希魔撞正杀人狂(港),U.S.,Quentin Tarantino,8.5,287223,2009,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p770734475.jpg,https://movie.douban.com/subject/1438652/
219,撞车,Crash,冲击效应  /  冲撞,U.S.,Paul Haggis,8.6,215998,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p659411589.jpg,https://movie.douban.com/subject/1388216/
220,东京物语,東京物語,东京故事  /  Tokyo Story,Japan,Yasujirô Ozu,9.2,71082,1953,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832390.jpg,https://movie.douban.com/subject/1291568/
221,奇迹男孩,Wonder,奇迹,U.S.,Stephen Chbosky,8.6,310573,2017,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,https://movie.douban.com/subject/26787574/
222,梦之安魂曲,Requiem for a Dream,噩梦挽歌(台)  /  迷上瘾(港),U.S.,Darren Aronofsky,8.7,142365,2000,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884936202.jpg,https://movie.douban.com/subject/1292270/
223,城市之光,City Lights,City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,U.S.,Charles Chaplin,9.3,63018,1931,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,https://movie.douban.com/subject/1293908/
224,彗星来的那一夜,Coherence,相干性  /  相干效应,U.S.,James Ward Byrkit,8.5,267285,2013,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2187896711.jpg,https://movie.douban.com/subject/25807345/
225,血钻,Blood Diamond,血腥钻石  /  滴血钻石,U.S.,Edward Zwick,8.6,189942,2006,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,https://movie.douban.com/subject/1428175/
226,绿里奇迹,The Green Mile,绿色奇迹(台)  /  绿色英里,U.S.,Frank Darabont,8.7,141811,1999,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,https://movie.douban.com/subject/1300374/
227,2001太空漫游,2001: A Space Odyssey,2001：星际漫游  /  2001：太空奥德赛,U.K.,Stanley Kubrick,8.7,144313,1968,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2500694952.jpg,https://movie.douban.com/subject/1292226/
228,头号玩家,Ready Player One,玩家一号  /  挑战者1号(港),U.S.,Steven Spielberg,8.7,792730,2018,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,https://movie.douban.com/subject/4920389/
229,聚焦,Spotlight,焦点追击(港)  /  惊爆焦点(台),U.S.,Thomas McCarthy,8.8,168867,2015,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg,https://movie.douban.com/subject/25954475/
230,这个男人来自地球,The Man from Earth,地球不死人(港)  /  这个人来自洞穴,U.S.,Richard Schenkman,8.5,240639,2007,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513303986.jpg,https://movie.douban.com/subject/2300586/
231,疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),Australia,George Miller,8.6,286644,2015,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,https://movie.douban.com/subject/3592854/
232,E.T. 外星人,E.T.: The Extra-Terrestrial,外星人E.T.  /  外星人,U.S.,Steven Spielberg,8.5,206566,1982,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p984732992.jpg,https://movie.douban.com/subject/1294638/
233,末路狂花,Thelma & Louise,塞尔玛与路易丝  /  末路狂花,U.S.,Ridley Scott,8.7,135231,1991,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p794583044.jpg,https://movie.douban.com/subject/1291992/
234,发条橙,A Clockwork Orange,发条桔子  /  发条橙子,U.K.,Stanley Kubrick,8.5,233731,1971,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg,https://movie.douban.com/subject/1292233/
235,黑鹰坠落,Black Hawk Down,黑鹰降落  /  黑鹰计划,U.S.,Ridley Scott,8.6,164733,2001,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg,https://movie.douban.com/subject/1291824/
236,变脸,Face/Off,夺面双雄  /  夺命双雄,U.S.,John Woo,8.4,267867,1997,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173855883.jpg,https://movie.douban.com/subject/1292659/
237,勇闯夺命岛,The Rock,石破天惊  /  绝地任务,U.S.,Michael Bay,8.6,178688,1996,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p636048104.jpg,https://movie.douban.com/subject/1292728/
238,釜山行,부산행,尸速列车(台)  /  尸杀列车(港),Korea,Sang-ho Yeon,8.4,533093,2016,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,https://movie.douban.com/subject/25986180/
239,黄金三镖客,"Il buono, il brutto, il cattivo.",好·坏·丑  /  独行侠决斗地狱门(港),Italy,Sergio Leone,9.1,69481,1966,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2101693489.jpg,https://movie.douban.com/subject/1401118/
240,我爱你,그대를 사랑합니다,爱你  /  爱，是一生相伴(台),Korea,Chang-min Choo,9.0,82461,2011,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg,https://movie.douban.com/subject/5908478/
241,国王的演讲,The King's Speech,皇上无话儿(港)  /  王者之声：宣战时刻(台),U.K.,Tom Hooper,8.4,428356,2010,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p768879237.jpg,https://movie.douban.com/subject/4023638/
242,遗愿清单,The Bucket List,玩转身前事(港)  /  一路玩到挂(台),U.S.,Rob Reiner,8.6,184512,2007,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg,https://movie.douban.com/subject/1867345/
243,新世界,신세계,暗黑新世界(台)  /  New World,Korea,Hoon-jung Park,8.7,138807,2013,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507486724.jpg,https://movie.douban.com/subject/10437779/
244,非常嫌疑犯,The Usual Suspects,刺激惊爆点(台)  /  普通嫌疑犯,Germany,Bryan Singer,8.6,159325,1995,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537319495.jpg,https://movie.douban.com/subject/1292214/
245,秒速5厘米,秒速5センチメートル,秒速五厘米  /  秒速5公分,Japan,Makoto Shinkai,8.3,402441,2007,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p982896012.jpg,https://movie.douban.com/subject/2043546/
246,千钧一发,Gattaca,变种异煞  /  自然人,U.S.,Andrew Niccol,8.7,127005,1997,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg,https://movie.douban.com/subject/1300117/
247,卡萨布兰卡,Casablanca,北非谍影(港)  /  卡萨布兰卡,U.S.,Michael Curtiz,8.6,157524,1942,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2247003945.jpg,https://movie.douban.com/subject/1296753/
248,驴得水,Mr. Donkey,Mr. Donkey,China,Shen Zhou /  Lu Liu,8.3,486621,2016,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg,https://movie.douban.com/subject/25921812/
249,四个春天,Four Springs,Four Springs,China,Lu Qing Yi,8.9,83261,2017,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2540578887.jpg,https://movie.douban.com/subject/27191492/
250,美国丽人,American Beauty,美丽有罪(港)  /  美国心·玫瑰情(台),U.S.,Sam Mendes,8.5,234179,1999,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p571671715.jpg,https://movie.douban.com/subject/1292062/
