rank,cn_title,eng_title,more_title,country,eng_dir,score,num_of_reviews,year,img,url
107,爱在黎明破晓前,Before Sunrise,情留半天(港)  /  爱在黎明破晓时(台),U.S.,Richard Linklater,8.8,317546,1995,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,https://movie.douban.com/subject/1296339/
108,射雕英雄传之东成西就,射鵰英雄傳之東成西就,东成西就  /  大英雄 (日本),Hong Kong,Jeffrey Lau,8.7,375609,1993,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg,https://movie.douban.com/subject/1316510/
109,甜蜜蜜,Comrades: Almost a Love Story,Comrades: Almost a Love Story,Hong Kong,Peter Chan,8.8,301106,1996,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1962839732.jpg,https://movie.douban.com/subject/1305164/
110,请以你的名字呼唤我,Call Me by Your Name,以你的名字呼唤我(港 / 台),Italy,Luca Guadagnino,8.8,313139,2017,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,https://movie.douban.com/subject/26799731/
111,侧耳倾听,耳をすませば,心之谷  /  梦幻街少女,Japan,Yoshifumi Kondo,8.8,247007,1995,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,https://movie.douban.com/subject/1297052/
112,驯龙高手,How to Train Your Dragon,驯龙记(港),U.S.,Dean DeBlois / · Chris Sanders,8.7,424909,2010,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,https://movie.douban.com/subject/2353023/
113,红辣椒,パプリカ,盗梦侦探  /  帕布莉卡,Japan,Satoshi Kon,8.9,203436,2006,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg,https://movie.douban.com/subject/1865703/
114,倩女幽魂,倩女幽魂(87版)  /  倩女幽魂：妖魔道,倩女幽魂(87版)  /  倩女幽魂：妖魔道,Hong Kong,Siu-Tung Ching,8.7,387099,1987,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,https://movie.douban.com/subject/1297447/
115,超脱,Detachment,人间师格(台),U.S.,Tony Kaye,8.8,249423,2011,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,https://movie.douban.com/subject/5322596/
116,恐怖直播,더 테러 라이브,死亡“动”新闻(港)  /  恐怖攻击直播(台),Korea,Byeong-woo Kim,8.7,338783,2013,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,https://movie.douban.com/subject/21360417/
117,风之谷,風の谷のナウシカ,风谷少女  /  Kaze no tani no Naushika,Japan,Hayao Miyazaki,8.8,240955,1984,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,https://movie.douban.com/subject/1291585/
