title,rank,director,year,url,img
THE CONFORMIST,174,BERNARDO BERTOLUCCI,1970,http://mubi.com/cast/bernardo-bertolucci,https://assets.mubi.com/images/film/2313/image-w384.jpg?1551349517
VIRIDIANA,175,LUIS BUÑUEL,1961,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/373/image-w384.jpg?1552496889
VAGABOND,176,AGNÈS VARDA,1985,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/245/image-w384.jpg?1555837222
UMBERTO D.,177,VITTORIO DE SICA,1952,http://mubi.com/cast/vittorio-de-sica,https://assets.mubi.com/images/film/371/image-w384.jpg?1544810432
THE ACT OF KILLING,178,JOSHUA OPPENHEIMER,2012,http://mubi.com/cast/joshua-oppenheimer,https://assets.mubi.com/images/film/99792/image-w384.jpg?1546120811
L'ATALANTE,179,JEAN VIGO,1934,http://mubi.com/cast/jean-vigo,https://assets.mubi.com/images/film/438/image-w384.jpg?1548981007
THE COLOR OF POMEGRANATES,180,SERGEI PARAJANOV,1969,http://mubi.com/cast/sergei-parajanov,https://assets.mubi.com/images/film/1505/image-w384.jpg?1549282379
ALICE IN THE CITIES,181,WIM WENDERS,1974,http://mubi.com/cast/wim-wenders,https://assets.mubi.com/images/film/995/image-w384.jpg?1551324707
HEDGEHOG IN THE FOG,182,YURIY NORSHTEYN,1975,http://mubi.com/cast/yuriy-norshteyn,https://assets.mubi.com/images/film/22519/image-w384.jpg?1546120810
I AM CUBA,183,MIKHAIL KALATOZOV,1964,http://mubi.com/cast/mikhail-kalatozov,https://assets.mubi.com/images/film/2207/image-w384.jpg?1532970089
THE DARK KNIGHT,184,CHRISTOPHER NOLAN,2008,http://mubi.com/cast/christopher-nolan,https://assets.mubi.com/images/film/1731/image-w384.jpg?1546124435
WALL•E,185,ANDREW STANTON,2008,http://mubi.com/cast/andrew-stanton,https://assets.mubi.com/images/film/2083/image-w384.jpg?1478537227
SCHINDLER'S LIST,186,STEVEN SPIELBERG,1993,http://mubi.com/cast/steven-spielberg,https://assets.mubi.com/images/film/3401/image-w384.jpg?1546124446
THE SHAWSHANK REDEMPTION,187,FRANK DARABONT,1994,http://mubi.com/cast/frank-darabont,https://assets.mubi.com/images/film/3403/image-w384.jpg?1544094136
ROSEMARY'S BABY,188,ROMAN POLANSKI,1968,http://mubi.com/cast/roman-polanski,https://assets.mubi.com/images/film/180/image-w384.jpg?1546124453
LET THE RIGHT ONE IN,189,TOMAS ALFREDSON,2008,http://mubi.com/cast/tomas-alfredson,https://assets.mubi.com/images/film/415/image-w384.jpg?1534736198
BRAZIL,190,TERRY GILLIAM,1985,http://mubi.com/cast/terry-gilliam,https://assets.mubi.com/images/film/211/image-w384.jpg?1546124415
TOY STORY,191,JOHN LASSETER,1995,http://mubi.com/cast/john-lasseter,https://assets.mubi.com/images/film/3035/image-w384.jpg?1487428835
DOGVILLE,192,LARS VON TRIER,2003,http://mubi.com/cast/lars-von-trier,https://assets.mubi.com/images/film/190/image-w384.jpg?1544083202
UN CHIEN ANDALOU,193,LUIS BUÑUEL,1929,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/294/image-w384.jpg?1553175051
THE LIVES OF OTHERS,194,FLORIAN HENCKEL VON DONNERSMARCK,2006,http://mubi.com/cast/florian-henckel-von-donnersmarck,https://assets.mubi.com/images/film/122/image-w384.jpg?1547228576
THE ELEPHANT MAN,195,DAVID LYNCH,1980,http://mubi.com/cast/david-lynch,https://assets.mubi.com/images/film/1358/image-w384.jpg?1560996155
SINGIN' IN THE RAIN,196,STANLEY DONEN,1952,http://mubi.com/cast/stanley-donen,https://assets.mubi.com/images/film/977/image-w384.jpg?1546124452
DO THE RIGHT THING,197,SPIKE LEE,1989,http://mubi.com/cast/spike-lee,https://assets.mubi.com/images/film/286/image-w384.jpg?1548094448
JULES AND JIM,198,FRANÇOIS TRUFFAUT,1962,http://mubi.com/cast/francois-truffaut,https://assets.mubi.com/images/film/218/image-w384.jpg?1546124409
HOWL'S MOVING CASTLE,199,HAYAO MIYAZAKI,2004,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/930/image-w384.jpg?1546128036
THE THIN RED LINE,200,TERRENCE MALICK,1998,http://mubi.com/cast/terrence-malick,https://assets.mubi.com/images/film/290/image-w384.jpg?1546128037
DOG DAY AFTERNOON,201,SIDNEY LUMET,1975,http://mubi.com/cast/sidney-lumet,https://assets.mubi.com/images/film/2031/image-w384.jpg?1546128020
THE DEER HUNTER,202,MICHAEL CIMINO,1978,http://mubi.com/cast/michael-cimino,https://assets.mubi.com/images/film/1571/image-w384.jpg?1556096401
LA HAINE,203,MATHIEU KASSOVITZ,1995,http://mubi.com/cast/mathieu-kassovitz,https://assets.mubi.com/images/film/216/image-w384.jpg?1546128021
IT'S A WONDERFUL LIFE,204,FRANK CAPRA,1946,http://mubi.com/cast/frank-capra,https://assets.mubi.com/images/film/3388/image-w384.jpg?1551261969
TOY STORY 3,205,LEE UNKRICH,2010,http://mubi.com/cast/lee-unkrich,https://assets.mubi.com/images/film/27222/image-w384.jpg?1559347347
BAND OF OUTSIDERS,206,JEAN-LUC GODARD,1964,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/291/image-w384.jpg?1546128037
BREAKING THE WAVES,207,LARS VON TRIER,1996,http://mubi.com/cast/lars-von-trier,https://assets.mubi.com/images/film/108/image-w384.jpg?1529717614
CONTEMPT,208,JEAN-LUC GODARD,1963,http://mubi.com/cast/jean-luc-godard,https://assets.mubi.com/images/film/239/image-w384.jpg?1551465755
THE THING,209,JOHN CARPENTER,1982,http://mubi.com/cast/john-carpenter,https://assets.mubi.com/images/film/3643/image-w384.jpg?1559433739
AKIRA,210,KATSUHIRO ÔTOMO,1988,http://mubi.com/cast/katsuhiro-otomo,https://assets.mubi.com/images/film/3359/image-w384.jpg?1504334897
DOWN BY LAW,211,JIM JARMUSCH,1986,http://mubi.com/cast/jim-jarmusch,https://assets.mubi.com/images/film/719/image-w384.jpg?1546131609
ON THE WATERFRONT,212,ELIA KAZAN,1954,http://mubi.com/cast/elia-kazan,https://assets.mubi.com/images/film/2840/image-w384.jpg?1546131610
AMARCORD,213,FEDERICO FELLINI,1973,http://mubi.com/cast/federico-fellini,https://assets.mubi.com/images/film/208/image-w384.jpg?1513728516
THE HOLY MOUNTAIN,214,ALEJANDRO JODOROWSKY,1973,http://mubi.com/cast/alejandro-jodorowsky,https://assets.mubi.com/images/film/513/image-w384.jpg?1529324410
BATTLESHIP POTEMKIN,215,SERGEI EISENSTEIN,1925,http://mubi.com/cast/sergei-eisenstein,https://assets.mubi.com/images/film/1528/image-w384.jpg?1552931541
NAKED,216,MIKE LEIGH,1993,http://mubi.com/cast/mike-leigh,https://assets.mubi.com/images/film/220/image-w384.jpg?1546221810
THE HUNT,217,THOMAS VINTERBERG,2012,http://mubi.com/cast/thomas-vinterberg,https://assets.mubi.com/images/film/97180/image-w384.jpg?1545346808
HAPPY TOGETHER,218,WONG KAR-WAI,1997,http://mubi.com/cast/wong-kar-wai,https://assets.mubi.com/images/film/337/image-w384.jpg?1546135259
PICKPOCKET,219,ROBERT BRESSON,1959,http://mubi.com/cast/robert-bresson,https://assets.mubi.com/images/film/229/image-w384.jpg?1546135259
THE WILD BUNCH,220,SAM PECKINPAH,1969,http://mubi.com/cast/sam-peckinpah,https://assets.mubi.com/images/film/1944/image-w384.jpg?1546135259
MARY AND MAX,221,ADAM ELLIOT,2009,http://mubi.com/cast/adam-elliot,https://assets.mubi.com/images/film/24149/image-w384.jpg?1547798445
DIABOLIQUE,222,HENRI-GEORGES CLOUZOT,1955,http://mubi.com/cast/henri-georges-clouzot,https://assets.mubi.com/images/film/575/image-w384.jpg?1546135259
WHO'S AFRAID OF VIRGINIA WOOLF?,223,MIKE NICHOLS,1966,http://mubi.com/cast/mike-nichols,https://assets.mubi.com/images/film/3065/image-w384.jpg?1546135259
MON ONCLE,224,JACQUES TATI,1958,http://mubi.com/cast/jacques-tati,https://assets.mubi.com/images/film/650/image-w384.jpg?1545406483
MEMORIES OF MURDER,225,BONG JOON-HO,2003,http://mubi.com/cast/bong-joon-ho,https://assets.mubi.com/images/film/2741/image-w384.jpg?1517934954
MOUCHETTE,226,ROBERT BRESSON,1967,http://mubi.com/cast/robert-bresson,https://assets.mubi.com/images/film/456/image-w384.jpg?1543381211
RED DESERT,227,MICHELANGELO ANTONIONI,1964,http://mubi.com/cast/michelangelo-antonioni,https://assets.mubi.com/images/film/1454/image-w384.jpg?1546135259
THE SILENCE,228,INGMAR BERGMAN,1963,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/570/image-w384.jpg?1559928180
AUTUMN SONATA,229,INGMAR BERGMAN,1978,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/605/image-w384.jpg?1542394920
THE LAST PICTURE SHOW,230,PETER BOGDANOVICH,1971,http://mubi.com/cast/peter-bogdanovich,https://assets.mubi.com/images/film/3326/image-w384.jpg?1546135259
FANTASTIC PLANET,231,RENÉ LALOUX,1973,http://mubi.com/cast/rene-laloux,https://assets.mubi.com/images/film/17980/image-w384.jpg?1551812413
3 WOMEN,232,ROBERT ALTMAN,1977,http://mubi.com/cast/robert-altman,https://assets.mubi.com/images/film/712/image-w384.jpg?1546135259
BRIEF ENCOUNTER,233,DAVID LEAN,1945,http://mubi.com/cast/david-lean,https://assets.mubi.com/images/film/345/image-w384.jpg?1557102830
"ROME, OPEN CITY",234,ROBERTO ROSSELLINI,1945,http://mubi.com/cast/roberto-rossellini,https://assets.mubi.com/images/film/975/image-w384.jpg?1546135260
FACES,235,JOHN CASSAVETES,1968,http://mubi.com/cast/john-cassavetes,https://assets.mubi.com/images/film/915/image-w384.jpg?1546135259
BARAKA,236,RON FRICKE,1992,http://mubi.com/cast/ron-fricke,https://assets.mubi.com/images/film/3665/image-w384.jpg?1546135259
NOBODY KNOWS,237,HIROKAZU KORE-EDA,2004,http://mubi.com/cast/hirokazu-kore-eda,https://assets.mubi.com/images/film/1031/image-w384.jpg?1557648016
IN A LONELY PLACE,238,NICHOLAS RAY,1950,http://mubi.com/cast/nicholas-ray,https://assets.mubi.com/images/film/2211/image-w384.jpg?1546135259
STROSZEK,239,WERNER HERZOG,1977,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/2879/image-w384.jpg?1546140632
MY NIGHT AT MAUD'S,240,ÉRIC ROHMER,1969,http://mubi.com/cast/eric-rohmer,https://assets.mubi.com/images/film/791/image-w384.jpg?1546140632
THE MAN WHO SHOT LIBERTY VALANCE,241,JOHN FORD,1962,http://mubi.com/cast/john-ford,https://assets.mubi.com/images/film/2273/image-w384.jpg?1546140632
RIFIFI,242,JULES DASSIN,1955,http://mubi.com/cast/jules-dassin,https://assets.mubi.com/images/film/654/image-w384.jpg?1498800520
A SHORT FILM ABOUT LOVE,243,KRZYSZTOF KIEŚLOWSKI,1988,http://mubi.com/cast/krzysztof-kieslowski,https://assets.mubi.com/images/film/503/image-w384.jpg?1546140632
OPENING NIGHT,244,JOHN CASSAVETES,1977,http://mubi.com/cast/john-cassavetes,https://assets.mubi.com/images/film/957/image-w384.jpg?1546140632
DIARY OF A COUNTRY PRIEST,245,ROBERT BRESSON,1951,http://mubi.com/cast/robert-bresson,https://assets.mubi.com/images/film/452/image-w384.jpg?1549872009
HOOP DREAMS,246,STEVE JAMES,1994,http://mubi.com/cast/steve-james,https://assets.mubi.com/images/film/906/image-w384.jpg?1561514577
A SHORT FILM ABOUT KILLING,247,KRZYSZTOF KIEŚLOWSKI,1988,http://mubi.com/cast/krzysztof-kieslowski,https://assets.mubi.com/images/film/504/image-w384.jpg?1546239608
ROCCO AND HIS BROTHERS,248,LUCHINO VISCONTI,1960,http://mubi.com/cast/luchino-visconti,https://assets.mubi.com/images/film/974/image-w384.jpg?1544094114
TO BE OR NOT TO BE,249,ERNST LUBITSCH,1942,http://mubi.com/cast/ernst-lubitsch,https://assets.mubi.com/images/film/1535/image-w384.jpg?1546140632
SHADOWS OF FORGOTTEN ANCESTORS,250,SERGEI PARAJANOV,1964,http://mubi.com/cast/sergei-parajanov,https://assets.mubi.com/images/film/2457/image-w384.jpg?1535029350
CRÍA CUERVOS...,251,CARLOS SAURA,1976,http://mubi.com/cast/carlos-saura,https://assets.mubi.com/images/film/519/image-w384.jpg?1546140632
LOS OLVIDADOS,252,LUIS BUÑUEL,1950,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/1479/image-w384.jpg?1546140632
THE CRANES ARE FLYING,253,MIKHAIL KALATOZOV,1957,http://mubi.com/cast/mikhail-kalatozov,https://assets.mubi.com/images/film/547/image-w384.jpg?1546140632
PARIS IS BURNING,254,JENNIE LIVINGSTON,1990,http://mubi.com/cast/jennie-livingston,https://assets.mubi.com/images/film/21477/image-w384.jpg?1559577761
DIMENSIONS OF DIALOGUE,255,JAN ŠVANKMAJER,1983,http://mubi.com/cast/jan-svankmajer,https://assets.mubi.com/images/film/21425/image-w384.jpg?1546254007
LANDSCAPE IN THE MIST,256,THEODOROS ANGELOPOULOS,1988,http://mubi.com/cast/theodoros-angelopoulos,https://assets.mubi.com/images/film/1438/image-w384.jpg?1537547439
LESSONS OF DARKNESS,257,WERNER HERZOG,1992,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/2296/image-w384.jpg?1539957785
DAY OF WRATH,258,CARL THEODOR DREYER,1943,http://mubi.com/cast/carl-theodor-dreyer,https://assets.mubi.com/images/film/442/image-w384.jpg?1546142444
FORBIDDEN GAMES,259,RENÉ CLÉMENT,1952,http://mubi.com/cast/rene-clement,https://assets.mubi.com/images/film/350/image-w384.jpg?1551874828
THE MOTHER AND THE WHORE,260,JEAN EUSTACHE,1973,http://mubi.com/cast/jean-eustache,https://assets.mubi.com/images/film/1703/image-w384.jpg?1546142436
THE HOUSE IS BLACK,261,FORUGH FARROKHZAD,1963,http://mubi.com/cast/forugh-farrokhzad,https://assets.mubi.com/images/film/2972/image-w384.jpg?1546142407
STOP MAKING SENSE,262,JONATHAN DEMME,1984,http://mubi.com/cast/jonathan-demme,https://assets.mubi.com/images/film/17532/image-w384.jpg?1510773435
LE TROU,263,JACQUES BECKER,1960,http://mubi.com/cast/jacques-becker,https://assets.mubi.com/images/film/668/image-w384.jpg?1546142407
UNCLE YANCO,264,AGNÈS VARDA,1967,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/25421/image-w384.jpg?1553979620
KIRIKOU AND THE SORCERESS,265,MICHEL OCELOT,1998,http://mubi.com/cast/michel-ocelot,https://assets.mubi.com/images/film/7733/image-w384.jpg?1555052448
AMÉLIE,266,JEAN-PIERRE JEUNET,2001,http://mubi.com/cast/jean-pierre-jeunet,https://assets.mubi.com/images/film/205/image-w384.jpg?1544072489
TRAINSPOTTING,267,DANNY BOYLE,1996,http://mubi.com/cast/danny-boyle,https://assets.mubi.com/images/film/144/image-w384.jpg?1546142453
SEVEN,268,DAVID FINCHER,1995,http://mubi.com/cast/david-fincher,https://assets.mubi.com/images/film/191/image-w384.jpg?1546142436
THE SILENCE OF THE LAMBS,269,JONATHAN DEMME,1991,http://mubi.com/cast/jonathan-demme,https://assets.mubi.com/images/film/528/image-w384.jpg?1549857602
LÉON: THE PROFESSIONAL,270,LUC BESSON,1994,http://mubi.com/cast/luc-besson,https://assets.mubi.com/images/film/168/image-w384.jpg?1545068127
THE GRADUATE,271,MIKE NICHOLS,1967,http://mubi.com/cast/mike-nichols,https://assets.mubi.com/images/film/193/image-w384.jpg?1556804218
UP,272,PETE DOCTER,2009,http://mubi.com/cast/pete-docter,https://assets.mubi.com/images/film/2374/image-w384.jpg?1546146009
RAIDERS OF THE LOST ARK,273,STEVEN SPIELBERG,1981,http://mubi.com/cast/steven-spielberg,https://assets.mubi.com/images/film/3397/image-w384.jpg?1546146009
BLOW-UP,274,MICHELANGELO ANTONIONI,1966,http://mubi.com/cast/michelangelo-antonioni,https://assets.mubi.com/images/film/264/image-w384.jpg?1546146049
LIFE OF BRIAN,275,TERRY JONES,1979,http://mubi.com/cast/terry-jones,https://assets.mubi.com/images/film/606/image-w384.jpg?1546146039
PERSEPOLIS,276,VINCENT PARONNAUD,2007,http://mubi.com/cast/vincent-paronnaud,https://assets.mubi.com/images/film/91/image-w384.jpg?1545379201
ALL ABOUT MY MOTHER,277,PEDRO ALMODÓVAR,1999,http://mubi.com/cast/pedro-almodovar,https://assets.mubi.com/images/film/309/image-w384.jpg?1549280223
HAROLD AND MAUDE,278,HAL ASHBY,1971,http://mubi.com/cast/hal-ashby,https://assets.mubi.com/images/film/332/image-w384.jpg?1546156846
UNFORGIVEN,279,CLINT EASTWOOD,1992,http://mubi.com/cast/clint-eastwood,https://assets.mubi.com/images/film/3044/image-w384.jpg?1546156848
TALK TO HER,280,PEDRO ALMODÓVAR,2002,http://mubi.com/cast/pedro-almodovar,https://assets.mubi.com/images/film/1593/image-w384.jpg?1546156844
REPULSION,281,ROMAN POLANSKI,1965,http://mubi.com/cast/roman-polanski,https://assets.mubi.com/images/film/404/image-w384.jpg?1552059658
CINEMA PARADISO,282,GIUSEPPE TORNATORE,1988,http://mubi.com/cast/giuseppe-tornatore,https://assets.mubi.com/images/film/3174/image-w384.jpg?1498800396
BELLE DE JOUR,283,LUIS BUÑUEL,1967,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/2076/image-w384.jpg?1552582952
STRANGER THAN PARADISE,284,JIM JARMUSCH,1984,http://mubi.com/cast/jim-jarmusch,https://assets.mubi.com/images/film/252/image-w384.jpg?1546156842
ROPE,285,ALFRED HITCHCOCK,1948,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/2451/image-w384.jpg?1537211056
A STREETCAR NAMED DESIRE,286,ELIA KAZAN,1951,http://mubi.com/cast/elia-kazan,https://assets.mubi.com/images/film/426/image-w384.jpg?1546156845
HUNGER,287,STEVE MCQUEEN,2008,http://mubi.com/cast/steve-mcqueen-d64e182f-1fd3-446f-8b14-237f8a71bd6b,https://assets.mubi.com/images/film/477/image-w384.jpg?1542096012
A PROPHET,288,JACQUES AUDIARD,2009,http://mubi.com/cast/jacques-audiard,https://assets.mubi.com/images/film/2372/image-w384.jpg?1545296416
THE SEARCHERS,289,JOHN FORD,1956,http://mubi.com/cast/john-ford,https://assets.mubi.com/images/film/1381/image-w384.jpg?1546221743
GHOST IN THE SHELL,290,MAMORU OSHII,1995,http://mubi.com/cast/mamoru-oshii,https://assets.mubi.com/images/film/104/image-w384.jpg?1546221746
REBECCA,291,ALFRED HITCHCOCK,1940,http://mubi.com/cast/alfred-hitchcock,https://assets.mubi.com/images/film/680/image-w384.jpg?1546221746
THE BIG SLEEP,292,HOWARD HAWKS,1946,http://mubi.com/cast/howard-hawks,https://assets.mubi.com/images/film/430/image-w384.jpg?1546221743
FREAKS,293,TOD BROWNING,1932,http://mubi.com/cast/tod-browning,https://assets.mubi.com/images/film/1101/image-w384.jpg?1546221744
FALLEN ANGELS,294,WONG KAR-WAI,1995,http://mubi.com/cast/wong-kar-wai,https://assets.mubi.com/images/film/391/image-w384.jpg?1546221745
PEEPING TOM,295,MICHAEL POWELL,1960,http://mubi.com/cast/michael-powell,https://assets.mubi.com/images/film/235/image-w384.jpg?1557504095
"SPRING, SUMMER, FALL, WINTER... AND SPRING",296,KIM KI-DUK,2003,http://mubi.com/cast/kim-ki-duk,https://assets.mubi.com/images/film/3196/image-w384.jpg?1528502572
HIS GIRL FRIDAY,297,HOWARD HAWKS,1940,http://mubi.com/cast/howard-hawks,https://assets.mubi.com/images/film/428/image-w384.jpg?1546135259
NAUSICAÄ OF THE VALLEY OF THE WIND,298,HAYAO MIYAZAKI,1984,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/1415/image-w384.jpg?1546227194
"THE COOK, THE THIEF, HIS WIFE & HER LOVER",299,PETER GREENAWAY,1989,http://mubi.com/cast/peter-greenaway,https://assets.mubi.com/images/film/2688/image-w384.jpg?1546227194
THAT OBSCURE OBJECT OF DESIRE,300,LUIS BUÑUEL,1977,http://mubi.com/cast/luis-bunuel,https://assets.mubi.com/images/film/686/image-w384.jpg?1555664402
BRINGING UP BABY,301,HOWARD HAWKS,1938,http://mubi.com/cast/howard-hawks,https://assets.mubi.com/images/film/865/image-w384.jpg?1546227195
AU REVOIR LES ENFANTS,302,LOUIS MALLE,1987,http://mubi.com/cast/louis-malle,https://assets.mubi.com/images/film/549/image-w384.jpg?1556352075
IT HAPPENED ONE NIGHT,303,FRANK CAPRA,1934,http://mubi.com/cast/frank-capra,https://assets.mubi.com/images/film/932/image-w384.jpg?1546228850
ELEVATOR TO THE GALLOWS,304,LOUIS MALLE,1958,http://mubi.com/cast/louis-malle,https://assets.mubi.com/images/film/778/image-w384.jpg?1546228811
TASTE OF CHERRY,305,ABBAS KIAROSTAMI,1997,http://mubi.com/cast/abbas-kiarostami,https://assets.mubi.com/images/film/242/image-w384.jpg?1546228811
THE PASSENGER,306,MICHELANGELO ANTONIONI,1975,http://mubi.com/cast/michelangelo-antonioni,https://assets.mubi.com/images/film/2631/image-w384.jpg?1532345105
WALKABOUT,307,NICOLAS ROEG,1971,http://mubi.com/cast/nicolas-roeg,https://assets.mubi.com/images/film/522/image-w384.jpg?1546297209
F FOR FAKE,308,ORSON WELLES,1973,http://mubi.com/cast/orson-welles,https://assets.mubi.com/images/film/908/image-w384.jpg?1546228812
THE RETURN,309,ANDREY ZVYAGINTSEV,2003,http://mubi.com/cast/andrey-zvyagintsev,https://assets.mubi.com/images/film/10/image-w384.jpg?1546228811
KOYAANISQATSI,310,GODFREY REGGIO,1982,http://mubi.com/cast/godfrey-reggio,https://assets.mubi.com/images/film/3664/image-w384.jpg?1546228811
UNDERGROUND,311,EMIR KUSTURICA,1995,http://mubi.com/cast/emir-kusturica,https://assets.mubi.com/images/film/483/image-w384.jpg?1546228849
PINA,312,WIM WENDERS,2011,http://mubi.com/cast/wim-wenders,https://assets.mubi.com/images/film/36636/image-w384.jpg?1555570872
BLACK NARCISSUS,313,MICHAEL POWELL,1947,http://mubi.com/cast/michael-powell,https://assets.mubi.com/images/film/632/image-w384.jpg?1557310340
HEAD-ON,314,FATIH AKIN,2004,http://mubi.com/cast/fatih-akin,https://assets.mubi.com/images/film/140/image-w384.jpg?1549180810
HOUR OF THE WOLF,315,INGMAR BERGMAN,1968,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/3554/image-w384.jpg?1561464074
LE CERCLE ROUGE,316,JEAN-PIERRE MELVILLE,1970,http://mubi.com/cast/jean-pierre-melville,https://assets.mubi.com/images/film/628/image-w384.jpg?1546306571
THE ENIGMA OF KASPAR HAUSER,317,WERNER HERZOG,1974,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/3747/image-w384.jpg?1537218003
THE TRIAL,318,ORSON WELLES,1962,http://mubi.com/cast/orson-welles,https://assets.mubi.com/images/film/1100/image-w384.jpg?1542710034
LE BONHEUR,319,AGNÈS VARDA,1965,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/525/image-w384.jpg?1553904006
THE LOVERS ON THE BRIDGE,320,LÉOS CARAX,1991,http://mubi.com/cast/leos-carax,https://assets.mubi.com/images/film/113/image-w384.jpg?1561386231
THE GRAPES OF WRATH,321,JOHN FORD,1940,http://mubi.com/cast/john-ford,https://assets.mubi.com/images/film/2545/image-w384.jpg?1557728709
THE LEOPARD,322,LUCHINO VISCONTI,1963,http://mubi.com/cast/luchino-visconti,https://assets.mubi.com/images/film/790/image-w384.jpg?1546228810
ONCE UPON A TIME IN ANATOLIA,323,NURI BILGE CEYLAN,2011,http://mubi.com/cast/nuri-bilge-ceylan,https://assets.mubi.com/images/film/44622/image-w384.jpg?1546306577
ALL THAT HEAVEN ALLOWS,324,DOUGLAS SIRK,1955,http://mubi.com/cast/douglas-sirk,https://assets.mubi.com/images/film/635/image-w384.jpg?1546308045
MCCABE & MRS. MILLER,325,ROBERT ALTMAN,1971,http://mubi.com/cast/robert-altman,https://assets.mubi.com/images/film/951/image-w384.jpg?1557728615
THE SEVENTH CONTINENT,326,MICHAEL HANEKE,1989,http://mubi.com/cast/michael-haneke,https://assets.mubi.com/images/film/3072/image-w384.jpg?1539854391
PAPER MOON,327,PETER BOGDANOVICH,1973,http://mubi.com/cast/peter-bogdanovich,https://assets.mubi.com/images/film/1334/image-w384.jpg?1539950097
TABU,328,MIGUEL GOMES,2012,http://mubi.com/cast/miguel-gomes,https://assets.mubi.com/images/film/46622/image-w384.jpg?1553821232
STILL WALKING,329,HIROKAZU KORE-EDA,2008,http://mubi.com/cast/hirokazu-kore-eda,https://assets.mubi.com/images/film/2222/image-w384.jpg?1540608440
ACE IN THE HOLE,330,BILLY WILDER,1951,http://mubi.com/cast/billy-wilder,https://assets.mubi.com/images/film/829/image-w384.jpg?1546239609
THE BITTER TEARS OF PETRA VON KANT,331,RAINER WERNER FASSBINDER,1972,http://mubi.com/cast/rainer-werner-fassbinder,https://assets.mubi.com/images/film/1409/image-w384.jpg?1546239612
ONIBABA,332,KANETO SHINDÔ,1964,http://mubi.com/cast/kaneto-shindo,https://assets.mubi.com/images/film/665/image-w384.jpg?1546239609
OUT OF THE PAST,333,JACQUES TOURNEUR,1947,http://mubi.com/cast/jacques-tourneur,https://assets.mubi.com/images/film/2414/image-w384.jpg?1546239610
JOHNNY GUITAR,334,NICHOLAS RAY,1954,http://mubi.com/cast/nicholas-ray,https://assets.mubi.com/images/film/1936/image-w384.jpg?1497438076
GOOD MORNING,335,YASUJIRÔ OZU,1959,http://mubi.com/cast/yasujiro-ozu,https://assets.mubi.com/images/film/624/image-w384.jpg?1544458636
MAMMA ROMA,336,PIER PAOLO PASOLINI,1962,http://mubi.com/cast/pier-paolo-pasolini,https://assets.mubi.com/images/film/375/image-w384.jpg?1551117270
KES,337,KEN LOACH,1969,http://mubi.com/cast/ken-loach,https://assets.mubi.com/images/film/2682/image-w384.jpg?1546239609
THE FIRE WITHIN,338,LOUIS MALLE,1963,http://mubi.com/cast/louis-malle,https://assets.mubi.com/images/film/540/image-w384.jpg?1546239612
FAUST,339,F.W. MURNAU,1926,http://mubi.com/cast/f-w-murnau,https://assets.mubi.com/images/film/917/image-w384.jpg?1553692669
SWEET SMELL OF SUCCESS,340,ALEXANDER MACKENDRICK,1957,http://mubi.com/cast/alexander-mackendrick,https://assets.mubi.com/images/film/2464/image-w384.jpg?1546239610
KIND HEARTS AND CORONETS,341,ROBERT HAMER,1949,http://mubi.com/cast/robert-hamer,https://assets.mubi.com/images/film/357/image-w384.jpg?1556910011
DERSU UZALA,342,AKIRA KUROSAWA,1975,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/2657/image-w384.jpg?1445889831
RAISE THE RED LANTERN,343,ZHANG YIMOU,1991,http://mubi.com/cast/yimou-zhang,https://assets.mubi.com/images/film/3973/image-w384.jpg?1546254008
RED BEARD,344,AKIRA KUROSAWA,1965,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/713/image-w384.jpg?1546257648
SENNA,345,ASIF KAPADIA,2010,http://mubi.com/cast/asif-kapadia,https://assets.mubi.com/images/film/37136/image-w384.jpg?1541678770
CÉLINE AND JULIE GO BOATING,346,JACQUES RIVETTE,1974,http://mubi.com/cast/jacques-rivette,https://assets.mubi.com/images/film/867/image-w384.jpg?1557852908
THE LAST LAUGH,347,F.W. MURNAU,1924,http://mubi.com/cast/f-w-murnau,https://assets.mubi.com/images/film/2149/image-w384.jpg?1553540409
AN AUTUMN AFTERNOON,348,YASUJIRÔ OZU,1962,http://mubi.com/cast/yasujiro-ozu,https://assets.mubi.com/images/film/784/image-w384.jpg?1552384974
