title,rank,rating,director,year,main_cast,url,img
Eternal Sunshine of the Spotless Mind,89,8.3,Michel Gondry,2004,"Jim Carrey, Kate Winslet",/title/tt0338013/,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Lawrence of Arabia,90,8.3,David Lean,1962,"Peter O'Toole, Alec Guinness",/title/tt0056172/,"https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY67_CR0,0,45,67_AL_.jpg"
A Clockwork Orange,91,8.3,Stanley Kubrick,1971,"Malcolm McDowell, Patrick Magee",/title/tt0066921/,"https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Singin' in the Rain,92,8.3,Stanley Donen,1952,"Gene Kelly, Donald O'Connor",/title/tt0045152/,"https://m.media-amazon.com/images/M/MV5BMWUyNjQ5MTAtNDJhYS00MWQ0LTk2ZTAtZmE4MWNlMjMwMzg3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Inglourious Basterds,93,8.3,Quentin Tarantino,2009,"Brad Pitt, Diane Kruger",/title/tt0361748/,"https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Amélie,94,8.3,Jean-Pierre Jeunet,2001,"Audrey Tautou, Mathieu Kassovitz",/title/tt0211915/,"https://m.media-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX45_CR0,0,45,67_AL_.jpg"
Double Indemnity,95,8.3,Billy Wilder,1944,"Fred MacMurray, Barbara Stanwyck",/title/tt0036775/,"https://m.media-amazon.com/images/M/MV5BOGZiZjFiMWItN2NkZC00MjEwLTk4YzEtNTMwOTlmOGM3ZGJkXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_UX45_CR0,0,45,67_AL_.jpg"
Taxi Driver,96,8.3,Martin Scorsese,1976,"Robert De Niro, Jodie Foster",/title/tt0075314/,"https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Full Metal Jacket,97,8.3,Stanley Kubrick,1987,"Matthew Modine, R. Lee Ermey",/title/tt0093058/,"https://m.media-amazon.com/images/M/MV5BNzkxODk0NjEtYjc4Mi00ZDI0LTgyYjEtYzc1NDkxY2YzYTgyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Bicycle Thieves,98,8.3,Vittorio De Sica,1948,"Lamberto Maggiorani, Enzo Staiola",/title/tt0040522/,"https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
To Kill a Mockingbird,99,8.3,Robert Mulligan,1962,"Gregory Peck, John Megna",/title/tt0056592/,"https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Good Will Hunting,100,8.3,Gus Van Sant,1997,"Robin Williams, Matt Damon",/title/tt0119217/,"https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Kid,101,8.3,Charles Chaplin,1921,"Charles Chaplin, Edna Purviance",/title/tt0012349/,"https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Sting,102,8.3,George Roy Hill,1973,"Paul Newman, Robert Redford",/title/tt0070735/,"https://m.media-amazon.com/images/M/MV5BZWNmODRmOTAtYTJhYi00NjllLTg3MTktNTBmZDZiNjJjZWVjXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX45_CR0,0,45,67_AL_.jpg"
Toy Story 3,103,8.3,Lee Unkrich,2010,"Tom Hanks, Tim Allen",/title/tt0435761/,"https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_UY67_CR1,0,45,67_AL_.jpg"
The Hunt,104,8.3,Thomas Vinterberg,2012,"Mads Mikkelsen, Thomas Bo Larsen",/title/tt2106476/,"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_UY67_CR1,0,45,67_AL_.jpg"
Snatch,105,8.3,Guy Ritchie,2000,"Jason Statham, Brad Pitt",/title/tt0208092/,"https://m.media-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY67_CR0,0,45,67_AL_.jpg"
Scarface,106,8.2,Brian De Palma,1983,"Al Pacino, Michelle Pfeiffer",/title/tt0086250/,"https://m.media-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
For a Few Dollars More,107,8.2,Sergio Leone,1965,"Clint Eastwood, Lee Van Cleef",/title/tt0059578/,"https://m.media-amazon.com/images/M/MV5BNWM1NmYyM2ItMTFhNy00NDU0LThlYWUtYjQyYTJmOTY0ZmM0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Apartment,108,8.2,Billy Wilder,1960,"Jack Lemmon, Shirley MacLaine",/title/tt0053604/,"https://m.media-amazon.com/images/M/MV5BNzkwODFjNzItMmMwNi00MTU5LWE2MzktM2M4ZDczZGM1MmViXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX45_CR0,0,45,67_AL_.jpg"
Toy Story 4,109,8.2,Josh Cooley,2019,"Tom Hanks, Tim Allen",/title/tt1979376/,"https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Metropolis,110,8.2,Fritz Lang,1927,"Brigitte Helm, Alfred Abel",/title/tt0017136/,"https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
Monty Python and the Holy Grail,111,8.2,Terry Gilliam,1975,"Graham Chapman, John Cleese",/title/tt0071853/,"https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
L.A. Confidential,112,8.2,Curtis Hanson,1997,"Kevin Spacey, Russell Crowe",/title/tt0119488/,"https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
A Separation,113,8.2,Asghar Farhadi,2011,"Payman Maadi, Leila Hatami",/title/tt1832382/,"https://m.media-amazon.com/images/M/MV5BMTYzMzU4NDUwOF5BMl5BanBnXkFtZTcwMTM5MjA5Ng@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Indiana Jones and the Last Crusade,114,8.2,Steven Spielberg,1989,"Harrison Ford, Sean Connery",/title/tt0097576/,"https://m.media-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY67_CR0,0,45,67_AL_.jpg"
Up,115,8.2,Pete Docter,2009,"Edward Asner, Jordan Nagai",/title/tt1049413/,"https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_UX45_CR0,0,45,67_AL_.jpg"
Rashômon,116,8.2,Akira Kurosawa,1950,"Toshirô Mifune, Machiko Kyô",/title/tt0042876/,"https://m.media-amazon.com/images/M/MV5BMTk1MDU5MjQ5NF5BMl5BanBnXkFtZTgwMDM2OTE4MzE@._V1_UY67_CR1,0,45,67_AL_.jpg"
All About Eve,117,8.2,Joseph L. Mankiewicz,1950,"Bette Davis, Anne Baxter",/title/tt0042192/,"https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_UX45_CR0,0,45,67_AL_.jpg"
Batman Begins,118,8.2,Christopher Nolan,2005,"Christian Bale, Michael Caine",/title/tt0372784/,"https://m.media-amazon.com/images/M/MV5BZmUwNGU2ZmItMmRiNC00MjhlLTg5YWUtODMyNzkxODYzMmZlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY67_CR2,0,45,67_AL_.jpg"
Some Like It Hot,119,8.2,Billy Wilder,1959,"Marilyn Monroe, Tony Curtis",/title/tt0053291/,"https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Yojimbo,120,8.2,Akira Kurosawa,1961,"Toshirô Mifune, Eijirô Tôno",/title/tt0055630/,"https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Downfall,121,8.2,Oliver Hirschbiegel,2004,"Bruno Ganz, Alexandra Maria Lara",/title/tt0363163/,"https://m.media-amazon.com/images/M/MV5BZDFmNzI3YmItMTMyMy00YjE1LTliYTgtN2Q4M2QzZDE5MTlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
Unforgiven,122,8.2,Clint Eastwood,1992,"Clint Eastwood, Gene Hackman",/title/tt0105695/,"https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Die Hard,123,8.2,John McTiernan,1988,"Bruce Willis, Alan Rickman",/title/tt0095016/,"https://m.media-amazon.com/images/M/MV5BZjRlNDUxZjAtOGQ4OC00OTNlLTgxNmQtYTBmMDgwZmNmNjkxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Heat,124,8.2,Michael Mann,1995,"Al Pacino, Robert De Niro",/title/tt0113277/,"https://m.media-amazon.com/images/M/MV5BNDc0YTQ5NGEtM2NkYS00MWRhLThiNzAtNmY3NWU3YzNkMjIyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Incendies,125,8.2,Denis Villeneuve,2010,"Lubna Azabal, Mélissa Désormeaux-Poulin",/title/tt1255953/,"https://m.media-amazon.com/images/M/MV5BMjEyNTA3Njk4M15BMl5BanBnXkFtZTcwMzkzMzY3Mw@@._V1_UY67_CR1,0,45,67_AL_.jpg"
The Treasure of the Sierra Madre,126,8.2,John Huston,1948,"Humphrey Bogart, Walter Huston",/title/tt0040897/,"https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Ikiru,127,8.2,Akira Kurosawa,1952,"Takashi Shimura, Nobuo Kaneko",/title/tt0044741/,"https://m.media-amazon.com/images/M/MV5BMTliYThjNGEtYTRiMy00MWMzLTgyNzEtYTU3NTU3M2YwMTNjXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UY67_CR1,0,45,67_AL_.jpg"
Green Book,128,8.2,Peter Farrelly,2018,"Viggo Mortensen, Mahershala Ali",/title/tt6966692/,"https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_UX45_CR0,0,45,67_AL_.jpg"
Raging Bull,129,8.2,Martin Scorsese,1980,"Robert De Niro, Cathy Moriarty",/title/tt0081398/,"https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UY67_CR0,0,45,67_AL_.jpg"
Children of Heaven,130,8.2,Majid Majidi,1997,"Mohammad Amir Naji, Amir Farrokh Hashemian",/title/tt0118849/,"https://m.media-amazon.com/images/M/MV5BZTYwZWQ4ZTQtZWU0MS00N2YwLWEzMDItZWFkZWY0MWVjODVhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Great Escape,131,8.2,John Sturges,1963,"Steve McQueen, James Garner",/title/tt0057115/,"https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Pan's Labyrinth,132,8.2,Guillermo del Toro,2006,"Ivana Baquero, Ariadna Gil",/title/tt0457430/,"https://m.media-amazon.com/images/M/MV5BMTU3ODg2NjQ5NF5BMl5BanBnXkFtZTcwMDEwODgzMQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Chinatown,133,8.2,Roman Polanski,1974,"Jack Nicholson, Faye Dunaway",/title/tt0071315/,"https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
My Neighbor Totoro,134,8.2,Hayao Miyazaki,1988,"Hitoshi Takagi, Noriko Hidaka",/title/tt0096283/,"https://m.media-amazon.com/images/M/MV5BNTdiOTQ0YmUtOGE3YS00NDg5LWI3YTEtNDAxZmE0MzRmZWM5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY67_CR2,0,45,67_AL_.jpg"
Howl's Moving Castle,135,8.2,Hayao Miyazaki,2004,"Chieko Baishô, Takuya Kimura",/title/tt0347149/,"https://m.media-amazon.com/images/M/MV5BZTRhY2QwM2UtNWRlNy00ZWQwLTg3MjktZThmNjQ3NTdjN2IxXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_UY67_CR1,0,45,67_AL_.jpg"
The Third Man,136,8.2,Carol Reed,1949,"Orson Welles, Joseph Cotten",/title/tt0041959/,"https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Ran,137,8.2,Akira Kurosawa,1985,"Tatsuya Nakadai, Akira Terao",/title/tt0089881/,"https://m.media-amazon.com/images/M/MV5BZDBjZTM4ZmEtOTA5ZC00NTQzLTkyNzYtMmUxNGU2YjI5YjU5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY67_CR1,0,45,67_AL_.jpg"
Babam ve Oglum,138,8.2,Çagan Irmak,2005,"Çetin Tekindor, Fikret Kuskan",/title/tt0476735/,"https://m.media-amazon.com/images/M/MV5BNjAzMzEwYzctNjc1MC00Nzg5LWFmMGItMTgzYmMyNTY2OTQ4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Judgment at Nuremberg,139,8.2,Stanley Kramer,1961,"Spencer Tracy, Burt Lancaster",/title/tt0055031/,"https://m.media-amazon.com/images/M/MV5BZDZjMTIwZTQtNTM3OS00OTUyLWI5MTMtOTNjYWVkNzhjMWIxXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Secret in Their Eyes,140,8.2,Juan José Campanella,2009,"Ricardo Darín, Soledad Villamil",/title/tt1305806/,"https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Gold Rush,141,8.2,Charles Chaplin,1925,"Charles Chaplin, Mack Swain",/title/tt0015864/,"https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY67_CR2,0,45,67_AL_.jpg"
A Beautiful Mind,142,8.2,Ron Howard,2001,"Russell Crowe, Ed Harris",/title/tt0268978/,"https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Bridge on the River Kwai,143,8.2,David Lean,1957,"William Holden, Alec Guinness",/title/tt0050212/,"https://m.media-amazon.com/images/M/MV5BMGVhNjhjODktODgxYS00MDdhLTlkZjktYTkyNzQxMTU0ZDYxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Casino,144,8.2,Martin Scorsese,1995,"Robert De Niro, Sharon Stone",/title/tt0112641/,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg"
"Lock, Stock and Two Smoking Barrels",145,8.2,Guy Ritchie,1998,"Jason Flemyng, Dexter Fletcher",/title/tt0120735/,"https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Seventh Seal,146,8.1,Ingmar Bergman,1957,"Max von Sydow, Gunnar Björnstrand",/title/tt0050976/,"https://m.media-amazon.com/images/M/MV5BNWE2NmMwZjgtOWYxYy00NWU0LTkzOGUtYTg4Yjk3MDFmY2IyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX45_CR0,0,45,67_AL_.jpg"
"Three Billboards Outside Ebbing, Missouri",147,8.1,Martin McDonagh,2017,"Frances McDormand, Woody Harrelson",/title/tt5027774/,"https://m.media-amazon.com/images/M/MV5BMjMxNzgwMDUyMl5BMl5BanBnXkFtZTgwMTQ0NTIyNDM@._V1_UY67_CR0,0,45,67_AL_.jpg"
On the Waterfront,148,8.1,Elia Kazan,1954,"Marlon Brando, Karl Malden",/title/tt0047296/,"https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Wolf of Wall Street,149,8.1,Martin Scorsese,2013,"Leonardo DiCaprio, Jonah Hill",/title/tt0993846/,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Elephant Man,150,8.1,David Lynch,1980,"Anthony Hopkins, John Hurt",/title/tt0080678/,"https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
Inside Out,151,8.1,Pete Docter,2015,"Amy Poehler, Bill Hader",/title/tt2096673/,"https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_UY67_CR0,0,45,67_AL_.jpg"
V for Vendetta,152,8.1,James McTeigue,2005,"Hugo Weaving, Natalie Portman",/title/tt0434409/,"https://m.media-amazon.com/images/M/MV5BYzllMjJkODAtYjMwMi00YmNhLWFhYzAtZjZjODg5YzEwOGUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Mr. Smith Goes to Washington,153,8.1,Frank Capra,1939,"James Stewart, Jean Arthur",/title/tt0031679/,"https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Room,154,8.1,Lenny Abrahamson,2015,"Brie Larson, Jacob Tremblay",/title/tt3170832/,"https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_UY67_CR0,0,45,67_AL_.jpg"
There Will Be Blood,155,8.1,Paul Thomas Anderson,2007,"Daniel Day-Lewis, Paul Dano",/title/tt0469494/,"https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Warrior,156,8.1,Gavin O'Connor,2011,"Tom Hardy, Nick Nolte",/title/tt1291584/,"https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Blade Runner,157,8.1,Ridley Scott,1982,"Harrison Ford, Rutger Hauer",/title/tt0083658/,"https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Dial M for Murder,158,8.1,Alfred Hitchcock,1954,"Ray Milland, Grace Kelly",/title/tt0046912/,"https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"
No Country for Old Men,159,8.1,Ethan Coen,2007,"Tommy Lee Jones, Javier Bardem",/title/tt0477348/,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Sixth Sense,160,8.1,M. Night Shyamalan,1999,"Bruce Willis, Haley Joel Osment",/title/tt0167404/,"https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UY67_CR0,0,45,67_AL_.jpg"
Wild Strawberries,161,8.1,Ingmar Bergman,1957,"Victor Sjöström, Bibi Andersson",/title/tt0050986/,"https://m.media-amazon.com/images/M/MV5BM2NiYjhmMzctMzliMC00NDBlLWJkYzItZjIwYjYzNDg3OGQzXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_UY67_CR0,0,45,67_AL_.jpg"
The General,162,8.1,Clyde Bruckman,1926,"Buster Keaton, Marion Mack",/title/tt0017925/,"https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Trainspotting,163,8.1,Danny Boyle,1996,"Ewan McGregor, Ewen Bremner",/title/tt0117951/,"https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Gone with the Wind,164,8.1,Victor Fleming,1939,"Clark Gable, Vivien Leigh",/title/tt0031381/,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Thing,165,8.1,John Carpenter,1982,"Kurt Russell, Wilford Brimley",/title/tt0084787/,"https://m.media-amazon.com/images/M/MV5BNDcyZmFjY2YtN2I1OC00MzU3LWIzZGEtZDA5N2VlNDJjYWI3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Fargo,166,8.1,Joel Coen,1996,"William H. Macy, Frances McDormand",/title/tt0116282/,"https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Come and See,167,8.1,Elem Klimov,1985,"Aleksey Kravchenko, Olga Mironova",/title/tt0091251/,"https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Andhadhun,168,8.1,Sriram Raghavan,2018,"Ayushmann Khurrana, Tabu",/title/tt8108198/,"https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY67_CR0,0,45,67_AL_.jpg"
Finding Nemo,169,8.1,Andrew Stanton,2003,"Albert Brooks, Ellen DeGeneres",/title/tt0266543/,"https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
