title,rank,rating,director,year,main_cast,url,img
The Usual Suspects,29,8.5,Bryan Singer,1995,"Kevin Spacey, Gabriel Byrne",/title/tt0114814/,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Léon: The Professional,30,8.5,Luc Besson,1994,"Jean Reno, Gary Oldman",/title/tt0110413/,"https://m.media-amazon.com/images/M/MV5BZDAwYTlhMDEtNTg0OS00NDY2LWJjOWItNWY3YTZkM2UxYzUzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR1,0,45,67_AL_.jpg"
The Green Mile,31,8.5,Frank Darabont,1999,"Tom Hanks, Michael Clarke Duncan",/title/tt0120689/,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UY67_CR0,0,45,67_AL_.jpg"
Interstellar,32,8.5,Christopher Nolan,2014,"Matthew McConaughey, Anne Hathaway",/title/tt0816692/,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
Psycho,33,8.5,Alfred Hitchcock,1960,"Anthony Perkins, Janet Leigh",/title/tt0054215/,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
American History X,34,8.5,Tony Kaye,1998,"Edward Norton, Edward Furlong",/title/tt0120586/,"https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
City Lights,35,8.5,Charles Chaplin,1931,"Charles Chaplin, Virginia Cherrill",/title/tt0021749/,"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Casablanca,36,8.5,Michael Curtiz,1942,"Humphrey Bogart, Ingrid Bergman",/title/tt0034583/,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX45_CR0,0,45,67_AL_.jpg"
Once Upon a Time in the West,37,8.5,Sergio Leone,1968,"Henry Fonda, Charles Bronson",/title/tt0064116/,"https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Pianist,38,8.5,Roman Polanski,2002,"Adrien Brody, Thomas Kretschmann",/title/tt0253474/,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR2,0,45,67_AL_.jpg"
Modern Times,39,8.5,Charles Chaplin,1936,"Charles Chaplin, Paulette Goddard",/title/tt0027977/,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Intouchables,40,8.5,Olivier Nakache,2011,"François Cluzet, Omar Sy",/title/tt1675434/,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Departed,41,8.5,Martin Scorsese,2006,"Leonardo DiCaprio, Matt Damon",/title/tt0407887/,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UY67_CR0,0,45,67_AL_.jpg"
Back to the Future,42,8.5,Robert Zemeckis,1985,"Michael J. Fox, Christopher Lloyd",/title/tt0088763/,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
Terminator 2: Judgment Day,43,8.5,James Cameron,1991,"Arnold Schwarzenegger, Linda Hamilton",/title/tt0103064/,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Lion King,44,8.5,Roger Allers,1994,"Matthew Broderick, Jeremy Irons",/title/tt0110357/,"https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UY67_CR0,0,45,67_AL_.jpg"
Whiplash,45,8.5,Damien Chazelle,2014,"Miles Teller, J.K. Simmons",/title/tt2582802/,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
Rear Window,46,8.5,Alfred Hitchcock,1954,"James Stewart, Grace Kelly",/title/tt0047396/,"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
Gladiator,47,8.5,Ridley Scott,2000,"Russell Crowe, Joaquin Phoenix",/title/tt0172495/,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Raiders of the Lost Ark,48,8.5,Steven Spielberg,1981,"Harrison Ford, Karen Allen",/title/tt0082971/,"https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Prestige,49,8.5,Christopher Nolan,2006,"Christian Bale, Hugh Jackman",/title/tt0482571/,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UY67_CR0,0,45,67_AL_.jpg"
Apocalypse Now,50,8.4,Francis Ford Coppola,1979,"Martin Sheen, Marlon Brando",/title/tt0078788/,"https://m.media-amazon.com/images/M/MV5BZTNkZmU0ZWQtZjQzMy00YTNmLWFmN2MtZGNkMmU1OThmMGYwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Memento,51,8.4,Christopher Nolan,2000,"Guy Pearce, Carrie-Anne Moss",/title/tt0209144/,"https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Alien,52,8.4,Ridley Scott,1979,"Sigourney Weaver, Tom Skerritt",/title/tt0078748/,"https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Grave of the Fireflies,53,8.4,Isao Takahata,1988,"Tsutomu Tatsumi, Ayano Shiraishi",/title/tt0095327/,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Cinema Paradiso,54,8.4,Giuseppe Tornatore,1988,"Philippe Noiret, Enzo Cannavale",/title/tt0095765/,"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Great Dictator,55,8.4,Charles Chaplin,1940,"Charles Chaplin, Paulette Goddard",/title/tt0032553/,"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Spider-Man: Into the Spider-Verse,56,8.4,Bob Persichetti,2018,"Shameik Moore, Jake Johnson",/title/tt4633694/,"https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Sunset Blvd.,57,8.4,Billy Wilder,1950,"William Holden, Gloria Swanson",/title/tt0043014/,"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Lives of Others,58,8.4,Florian Henckel von Donnersmarck,2006,"Ulrich Mühe, Martina Gedeck",/title/tt0405094/,"https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UY67_CR1,0,45,67_AL_.jpg"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,59,8.4,Stanley Kubrick,1964,"Peter Sellers, George C. Scott",/title/tt0057012/,"https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Avengers: Infinity War,60,8.4,Anthony Russo,2018,"Robert Downey Jr., Chris Hemsworth",/title/tt4154756/,"https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Paths of Glory,61,8.4,Stanley Kubrick,1957,"Kirk Douglas, Ralph Meeker",/title/tt0050825/,"https://m.media-amazon.com/images/M/MV5BNjViMmRkOTEtM2ViOS00ODg0LWJhYWEtNTBlOGQxNDczOGY3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY67_CR1,0,45,67_AL_.jpg"
Django Unchained,62,8.4,Quentin Tarantino,2012,"Jamie Foxx, Christoph Waltz",/title/tt1853728/,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Shining,63,8.4,Stanley Kubrick,1980,"Jack Nicholson, Shelley Duvall",/title/tt0081505/,"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
WALL·E,64,8.4,Andrew Stanton,2008,"Ben Burtt, Elissa Knight",/title/tt0910970/,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Princess Mononoke,65,8.4,Hayao Miyazaki,1997,"Yôji Matsuda, Yuriko Ishida",/title/tt0119698/,"https://m.media-amazon.com/images/M/MV5BMTVlNWM4NTAtNDQxYi00YWU5LWIwM2MtZmVjYWFmODZiODE5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR1,0,45,67_AL_.jpg"
